emp_id,week_start,week,department,role_level,manager_id,base_skill,baseline_stress,workload,tasks_completed,avg_task_difficulty,hours_worked,overtime_hours,idle_time_ratio,msg_count,avg_sentiment,meetings,leave_days,task_on_time_ratio,productivity_index,burnout_score,burnout_risk
1,2024-01-01,1,engineering,lead,1,75.0,0.305,1.182,2,2.68,42.4,0.77,0.139,28,-0.113,5,0,0.819,30.46,0.285,Low
1,2024-01-08,2,engineering,lead,1,75.0,0.305,0.686,7,1.86,41.8,0.0,0.303,32,0.275,2,0,0.966,43.27,0.237,Low
1,2024-01-15,3,engineering,lead,1,75.0,0.305,0.976,6,3.11,38.5,2.18,0.174,9,0.152,1,0,0.89,42.17,0.278,Low
1,2024-01-22,4,engineering,lead,1,75.0,0.305,1.127,6,3.92,37.4,0.0,0.103,37,0.111,5,0,0.908,40.97,0.228,Low
1,2024-01-29,5,engineering,lead,1,75.0,0.305,1.45,3,5.0,43.4,3.97,0.097,21,0.206,7,0,0.885,34.38,0.32,Low
1,2024-02-05,6,engineering,lead,1,75.0,0.305,1.8,4,5.0,57.0,19.72,0.129,34,-0.084,4,0,0.78,34.51,0.498,Medium
1,2024-02-12,7,engineering,lead,1,75.0,0.305,0.964,4,3.45,43.3,2.32,0.144,40,0.057,4,0,0.854,36.1,0.316,Low
1,2024-02-19,8,engineering,lead,1,75.0,0.305,0.999,3,2.06,39.1,0.0,0.188,30,0.164,4,0,0.959,35.68,0.239,Low
1,2024-02-26,9,engineering,lead,1,75.0,0.305,1.204,5,4.08,42.8,1.87,0.155,19,0.509,6,0,0.801,38.11,0.282,Low
1,2024-03-04,10,engineering,lead,1,75.0,0.305,0.777,6,2.21,42.8,0.0,0.248,40,0.363,3,0,0.835,40.11,0.23,Low
1,2024-03-11,11,engineering,lead,1,75.0,0.305,0.708,5,2.27,36.3,0.0,0.17,48,-0.048,0,0,0.969,41.11,0.193,Low
1,2024-03-18,12,engineering,lead,1,75.0,0.305,0.968,5,3.64,42.8,0.3,0.155,19,0.064,5,0,0.841,37.07,0.202,Low
1,2024-03-25,13,engineering,lead,1,75.0,0.305,0.949,4,2.52,47.6,1.86,0.131,25,0.339,2,0,0.925,39.94,0.206,Low
1,2024-04-01,14,engineering,lead,1,75.0,0.305,1.525,3,4.63,42.0,2.08,0.085,48,0.063,6,0,0.878,34.33,0.231,Low
1,2024-04-08,15,engineering,lead,1,75.0,0.305,1.288,3,4.04,40.4,4.1,0.155,38,0.266,3,0,0.784,34.64,0.31,Low
1,2024-04-15,16,engineering,lead,1,75.0,0.305,1.506,5,5.0,47.0,8.78,0.163,36,0.457,6,0,0.822,38.05,0.388,Medium
1,2024-04-22,17,engineering,lead,1,75.0,0.305,1.419,3,3.44,42.0,2.71,0.134,35,-0.017,9,0,0.726,29.17,0.343,Medium
1,2024-04-29,18,engineering,lead,1,75.0,0.305,1.262,3,4.3,41.0,4.8,0.289,50,0.353,7,0,0.86,31.87,0.383,Medium
1,2024-05-06,19,engineering,lead,1,75.0,0.305,1.142,6,3.19,45.8,3.22,0.113,31,-0.211,3,1,0.871,39.81,0.344,Medium
1,2024-05-13,20,engineering,lead,1,75.0,0.305,1.375,2,5.0,46.0,0.52,0.119,19,-0.2,5,0,0.776,29.7,0.278,Low
2,2024-01-01,1,engineering,mid,1,55.7,0.162,1.013,2,4.19,40.3,0.0,0.177,51,0.398,1,1,0.885,35.77,0.187,Low
2,2024-01-08,2,engineering,mid,1,55.7,0.162,1.294,4,4.17,40.3,2.13,0.101,47,0.505,7,0,0.842,37.05,0.177,Low
2,2024-01-15,3,engineering,mid,1,55.7,0.162,1.201,6,3.59,46.6,2.77,0.097,42,0.48,4,0,0.935,43.88,0.183,Low
2,2024-01-22,4,engineering,mid,1,55.7,0.162,1.131,6,4.44,43.7,4.42,0.173,29,0.166,3,0,0.784,39.48,0.251,Low
2,2024-01-29,5,engineering,mid,1,55.7,0.162,1.8,2,5.0,51.4,11.49,0.077,37,0.076,5,0,0.756,31.4,0.38,Medium
2,2024-02-05,6,engineering,mid,1,55.7,0.162,1.075,7,2.98,43.2,1.51,0.192,46,0.612,3,0,0.759,42.94,0.242,Low
2,2024-02-12,7,engineering,mid,1,55.7,0.162,1.056,5,3.2,41.0,0.0,0.108,41,0.119,6,0,0.924,38.71,0.195,Low
2,2024-02-19,8,engineering,mid,1,55.7,0.162,1.02,8,3.74,47.2,0.41,0.171,27,0.465,7,0,0.879,43.86,0.205,Low
2,2024-02-26,9,engineering,mid,1,55.7,0.162,0.515,8,2.06,37.7,0.0,0.166,37,0.429,5,0,0.895,45.16,0.186,Low
2,2024-03-04,10,engineering,mid,1,55.7,0.162,0.863,6,2.83,39.8,0.0,0.134,38,0.338,1,0,0.927,44.25,0.171,Low
2,2024-03-11,11,engineering,mid,1,55.7,0.162,0.753,7,2.38,38.6,0.0,0.175,20,0.029,2,0,0.973,44.07,0.145,Low
2,2024-03-18,12,engineering,mid,1,55.7,0.162,0.829,6,3.07,44.4,4.09,0.215,33,0.253,5,0,0.866,39.36,0.234,Low
2,2024-03-25,13,engineering,mid,1,55.7,0.162,1.095,6,3.24,46.4,3.2,0.044,24,0.3,0,0,0.985,46.87,0.188,Low
2,2024-04-01,14,engineering,mid,1,55.7,0.162,0.997,3,3.63,41.5,2.36,0.055,37,0.261,4,0,0.895,37.21,0.212,Low
2,2024-04-08,15,engineering,mid,1,55.7,0.162,1.013,3,2.85,39.8,0.0,0.186,20,0.014,4,0,0.893,33.97,0.171,Low
2,2024-04-15,16,engineering,mid,1,55.7,0.162,1.184,4,3.28,43.9,2.33,0.196,42,-0.061,3,0,0.846,35.2,0.226,Low
2,2024-04-22,17,engineering,mid,1,55.7,0.162,1.618,1,4.92,48.4,6.67,0.14,71,0.241,8,0,0.733,27.31,0.326,Low
